"order";"id";"SCI_CODE";"NUMBER";"ACTION";"BAND";"PRECISE";"BIRD";"GENDER";"ATLAS";"PAIRS";"REMARKS";"LON";"LAT";"YEAR";"DATE";"OBSRVR";"SITE";"COUNTY"
"127";"5";"TURPHI";"1";"s";"2";TRUE;TRUE;;"l";"1";;"24,63397";"58,77479";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"128";"5";"FICPAR";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63576";"58,77448";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"129";"5";"PHYLUS";"1";"s";"2";TRUE;TRUE;;"l";"1";;"24,63521";"58,77380";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"130";"5";"PRUMOD";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63604";"58,77395";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"131";"5";"SYLATR";"1";"s";"2";TRUE;TRUE;;"l";"1";;"24,63389";"58,77341";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"132";"5";"SYLBOR";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63657";"58,77314";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"133";"5";"PHYLUS";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63256";"58,77346";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"134";"5";"GRUGRU";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,62376";"58,76992";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"135";"5";"NUCCAR";"1";"s";"2";FALSE;TRUE;;"l";"1";;"24,64146";"58,77695";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"136";"5";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"24,64327";"58,77720";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"137";"5";"ANTTRI";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,64225";"58,77652";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"138";"5";"REGREG";"1";"s";"2";TRUE;TRUE;;"l";"1";;"24,64401";"58,77675";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"139";"5";"ANTTRI";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,64220";"58,77796";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"140";"5";"PHYSIB";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,64398";"58,77798";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"141";"5";"PHYLUS";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,64511";"58,77793";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"142";"5";"COLPAL";"1";"s";"3";FALSE;TRUE;;"l";"1";;"24,64511";"58,77766";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"143";"5";"PYRULA";"1";"h";"3";TRUE;TRUE;;"v";"1";;"24,64558";"58,77757";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"144";"5";"SYLBOR";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,64592";"58,77795";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"145";"5";"PHYCOL";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,64648";"58,77796";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"146";"5";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"24,64530";"58,77691";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
